Frame,CenterX,CenterY,dx,dy,Distance,Score
1,2859,1598,-32,-14,34.6967,0.855465
3,2827,1584,-32,-14,34.6967,0.842348
7,2794,1570,-33,-14,35.6529,0.83085
9,2762,1556,-32,-14,34.6967,0.84187
11,2730,1543,-32,-13,34.4039,0.83195
13,2697,1530,-33,-13,35.3601,0.828353
15,2664,1517,-33,-13,35.3601,0.865395
19,2631,1504,-33,-13,35.3601,0.86863
21,2598,1491,-33,-13,35.3601,0.889929
23,2565,1478,-33,-13,35.3601,0.868353
25,2532,1465,-33,-13,35.3601,0.880855
27,2499,1452,-33,-13,35.3601,0.873193
31,2466,1439,-33,-13,35.3601,0.873855
33,2433,1426,-33,-13,35.3601,0.842232
35,2401,1413,-32,-13,34.4039,0.801983
38,2369,1400,-32,-13,34.4039,0.821074
39,2337,1387,-32,-13,34.4039,0.795338
43,2305,1374,-32,-13,34.4039,0.776371
45,2273,1361,-32,-13,34.4039,0.744515
47,2241,1348,-32,-13,34.4039,0.728116
49,2209,1335,-32,-13,34.4039,0.730082
51,2178,1322,-31,-13,33.4477,0.723861
55,2146,1309,-32,-13,34.4039,0.721967
57,2115,1297,-31,-12,33.155,0.743038
59,2084,1285,-31,-12,33.155,0.779308
61,2053,1273,-31,-12,33.155,0.810931
63,2022,1261,-31,-12,33.155,0.834697
67,1991,1249,-31,-12,33.155,0.822721
70,1961,1237,-30,-12,32.1988,0.827008
71,1931,1225,-30,-12,32.1988,0.822527
73,1902,1214,-29,-11,30.9498,0.832873
75,1873,1203,-29,-11,30.9498,0.854046
79,1844,1192,-29,-11,30.9498,0.866165
82,1816,1181,-28,-11,29.9936,0.884777
83,1788,1170,-28,-11,29.9936,0.874565
85,1761,1160,-27,-10,28.7447,0.854558
87,1734,1150,-27,-10,28.7447,0.859404
91,1707,1140,-27,-10,28.7447,0.872817
93,1681,1130,-26,-10,27.7885,0.865589
95,1656,1121,-25,-9,26.5395,0.868677
97,1631,1112,-25,-9,26.5395,0.868668
99,1606,1103,-25,-9,26.5395,0.871731
